id,tweet,subtask_a,subtask_b,subtask_c
78367,"['socialists', 'politics', 'stand', 'downtrodden', 'well', 'done', 'conflating', 'criticism', 'israel', 'anti', 'semitism', 'also', 'part', 'problem']",NOT,,
66596,"['nina', 'one', 'reasons', 'read', 'book', 'long', 'worried', 'character', 'trusted', 'everyone', 'nina', 'goddamn', 'goddess', 'would', 'die', 'thousand', 'times', 'big', 'bold', 'lovely', 'perfect', 'arc', 'perfect']",NOT,,
70999,"['please', 'vote', 'kavanaugh', 'fit', 'scotus', 'allegations', 'women', 'shady', 'financials', 'disqualify', 'ruleoflaw', 'matters', 'metoo', 'countryoverparty', 'withdrawkavanaugh', 'stopkavanaugh']",NOT,,
36026,"['ppl', 'say', 'racist', 'racist', 'racist', 'repeat']",NOT,,
29439,"['kathy', 'patriot', 'Statue_of_Liberty', 'love', 'great', 'president', 'trump', 'spine', 'u', 'steel', 'changing', 'trade', 'everything', 'americans', 'americafirst', 'usa', 'maga', 'leadership', 'respect', 'economy', 'jobs', 'peacethrustrength', 'god', 'bless', 'trump', 'theusa', 'grinning_face', 'Statue_of_Liberty', 'Statue_of_Liberty', 'Statue_of_Liberty', 'grinning_face']",NOT,,
74477,"['wow', 'liberals', 'really', 'sense', 'humor', 'face_with_rolling_eyes']",NOT,,
49845,"['fucking', 'ready']",NOT,,
32305,"['holy', 'moly', 'catholic', 'people', 'awakened', 'falseprophet', 'lunatic']",NOT,,
77243,"['lol', 'yeah', 'per', 'dina', 'everyday', 'per', 'claudia', 'horse', 'got', 'vet', 'care', 'unless', 'donation', 'example', 'limping', 'etc']",NOT,,
73205,"['surprise', 'antifa', 'blm', 'soros', 'americas', 'worst', 'enemy', 'history', 'believes', 'way', 'take', 'usa', 'withing', 'hes', 'right', 'gunna', 'happen']",NOT,,
47311,"['wedding', 'best', 'pretty']",NOT,,
48553,"['conflict', 'look', 'soros', 'involved', 'violent', 'left', 'agenda', 'antifa', 'also']",NOT,,
75689,"['url', 'announcements', 'every', 'come', 'fruition', 'basically', 'stealing', 'labour', 'ideas', 'get', 'votes']",NOT,,
84102,"['british', 'people', 'basically', 'full', 'racists', 'voters', 'vote', 'conservatives', 'coincidence']",OFF,TIN,GRP
10607,"['guncontrol', 'advocates', 'must', 'stop', 'falling', 'assure', 'electorate', 'love', 'horrific', 'url']",NOT,,
43913,"['hi', 'love', 'huge', 'fan', 'camila', 'mendes', 'would', 'alright', 'used', 'tweet', 'promotional', 'material']",NOT,,
98992,['fuck'],OFF,TIN,IND
92056,"['certainly', 'weird', 'view', 'toward', 'margaret', 'sanger', 'geonicidal', 'philosophy', 'aborting', 'minorities', 'like', 'know', 'black', 'population', 'suffers', 'shares', 'opinion']",NOT,,
33853,"['prison', 'system', 'fucked', 'still', 'getting', 'away', 'potentially', 'murder', 'intent', 'prisoners', 'die', 'hurricane', 'louisiana', 'like', 'inmates', 'went', 'missing']",OFF,TIN,OTH
75215,"['useless', 'attempts', 'right', 'thing', 'never', 'follows']",OFF,TIN,IND
96218,"['walkaway', 'liberals', 'party', 'poison', 'url']",NOT,,
57013,"['grateful', 'trump', 'dog', 'white', 'house', 'cruel', 'man']",OFF,TIN,IND
20883,"['lying', 'stick', 'facts', 'pay']",NOT,,
74831,"['trump', 'kicks', 'dem', 'butt', 'fun']",OFF,TIN,IND
53264,"['dumb', 'dumber', 'one', 'president', 'two', 'one']",OFF,TIN,IND
28204,"['toxictory', 'minister', 'attempted', 'expense', 'charity', 'donation', 'toriesmustgo', 'dissolvetheunion', 'url']",NOT,,
42024,"['ur', 'straight', 'forword', 'man', 'OK_hand', 'saw', 'u', 'dance', 'dewwane', 'ur', 'talk', 'free', 'ky', 'ap', 'kitnay', 'porrany', 'ho', 'industry', 'mein', 'really', 'like', 'ur', 'quality', 'u', 'even', 'gather', 'ur', 'senior', 'green_heart', 'artist', 'love', 'manmarziyaan', 'cowboy_hat_face', 'thumbs_up']",NOT,,
84664,"['clown', 'prison']",OFF,TIN,IND
54842,"['twitter', 'silence', 'alex', 'jones', 'retaliation', 'asking', 'twitter', 'jack', 'questions', 'url']",NOT,,
48995,"['thats', 'old', 'man']",OFF,TIN,IND
47153,"['obstructionists', 'anti', 'american', 'pharisees', 'ask', 'running', 'get', 'nothing', 'maga']",OFF,TIN,OTH
76826,"['represent', 'alinskyite', 'orwellian', 'leftist', 'tool', 'fool', 'view', 'things', 'like', 'marxists', 'antifa', 'similar', 'u', 'psst', 'bu', 'use', 'words', 'fascist', 'fascism', 'go', 'ahead', 'read', 'souza', 'book', 'big', 'lie', 'right', 'u', 'know', 'squat', 'either']",NOT,,
27645,"['remember', 'somehow', 'centrist', 'antifa', 'haters', 'never', 'quite', 'seem', 'bring', 'condemn', 'things']",NOT,,
64429,"['mean', 'worked', 'gun', 'control', 'right', 'url']",OFF,TIN,GRP
20943,"['think', 'last', 'thing', 'wh', 'trump', 'mind', 'april', 'ryan', 'needs', 'stop', 'flattering', 'important', 'thinks']",NOT,,
78064,"['principled', 'conservatives', 'hypocrickets']",NOT,,
14122,"['forget', 'democrat', 'backed', 'antifa']",NOT,,
72353,"['beautiful', 'person', 'teach', 'values', 'kids', 'teaching', 'royalty', 'keep', 'keep', 'going', 'heads', 'stay', 'real', 'red_heart']",NOT,,
39051,"['bring', 'antifa', 'criminal', 'son', 'campaign']",NOT,,
54546,"['watch', 'watch', 'watching', 'september', 'th', 'stories', 'came', 'together', 'stood', 'shoulder', 'shoulder', 'made', 'proud', 'even', 'issues', 'yet', 'people', 'playing', 'damn', 'game', 'can', 'not', 'stand', 'moment', 'protest', 'saturday']",NOT,,
50759,"['tear', 'made', 'water', 'feelings']",NOT,,
75992,"['trump', 'addresses', 'gun', 'control', 'representing', 'nra', 'let', 'says', 'url']",NOT,,
45068,"['drinking', 'much', 'koolaid', 'bloated']",OFF,TIN,IND
17259,"['holder', 'needs', 'prosecuted']",NOT,,
95225,"['players', 'women', 'women', 'color']",NOT,,
84667,"['institution', 'let', 'tweet', 'behaves', 'window', 'licker']",OFF,TIN,IND
14574,"['babysitting', 'kids', 'people', 'old', 'think', 'three', 'kids', 'dont', 'get', 'mad', 'get', 'mad', 'know', 'know']",NOT,,
23784,"['well', 'url']",NOT,,
93119,"['wtc', 'threat', 'maga', 'qanon', 'wakeupamerica', 'url']",OFF,TIN,IND
30115,"['easily', 'digestible', 'content', 'need', 'nuance', 'even', 'understand', 'story', 'show', 'picture', 'antifa', 'get', 'base', 'level', 'emotional', 'response', 'content', 'requires', 'order', 'profitable']",NOT,,
69281,"['try', 'looking', 'plain', 'old', 'democrats', 'liberals', 'ones', 'conversation']",NOT,,
15322,"['great', 'news', 'old', 'moonbeam', 'went', 'coma', 'face_with_tears_of_joy']",NOT,,
75089,"['omg', 'extra', 'ily']",NOT,,
21379,"['please', 'call', 'trump', 'narcissistic', 'sociopath']",OFF,TIN,IND
43133,"['unfortunately', 'america', 'system', 'like', 'would', 'called', 'racist', 'liberals', 'believe', 'exams', 'racist', 'minority', 'groups']",NOT,,
52102,"['know', 'still', 'alive', 'wondering', 'career', 'railroaded', 'odd', 'loved', 'especially', 'day']",NOT,,
59537,"['guy', 'always', 'present', 'bet', 'lol']",NOT,,
44209,"['baby', 'url']",NOT,,
96664,"['persuasive', 'fam']",NOT,,
12559,"['nothing', 'new', 'going', 'vote', 'anyway', 'vote', 'liberals', 'november', 'url']",NOT,,
61914,"['burt', 'cool', 'dude']",NOT,,
32317,"['maga', 'trump', 'follow', 'follow', 'back']",NOT,,
94767,"['thank', 'u', 'finally', 'point', 'okay', 'using', 'heat', 'happy']",NOT,,
64835,"['kind', 'like', 'trump', 'time', 'huh']",NOT,,
41353,"['former', 'antifa', 'white', 'house', 'arrest', 'citizen', 'arrest', 'someone', 'explain']",NOT,,
52252,"['fuck', 'em']",OFF,TIN,GRP
91001,"['good', 'move', 'big', 'loser']",OFF,TIN,IND
18495,"['let', 'get', 'bottom', 'dm', 'zipcode', 'check', 'back', 'make', 'sure', 'enjoying', 'best', 'tv', 'offer', 'asap', 'nevinbruce']",NOT,,
76680,"['record', 'know', 'doug', 'jones', 'personally', 'sen', 'bc', 'credible', 'choice', 'next', 'election']",NOT,,
88013,"['president', 'feelings', 'totally', 'opposite', 'cnn', 'feelings', 'say', 'cnn', 'liberals']",NOT,,
66349,"['literally', 'narrative', 'par', 'nazis', 'punch', 'antifa', 'punch', 'two', 'sides', 'coin', 'noooooooo', 'one', 'groups', 'wants', 'exterminate', 'deport', 'poc', 'jews', 'wants', 'prevent', 'comparison', 'benefits', 'fash']",OFF,UNT,
80561,"['many', 'dumb', 'arguments', 'gun', 'control', 'may', 'dumbest', 'common']",OFF,TIN,IND
16052,"['idk', 'going']",NOT,,
49996,"['yall', 'need', 'chill', 'really', 'abysmal', 'nd', 'half', 'rizzo', 'abysmal', 'st', 'half', 'baseball', 'happens', 'things', 'still', 'needs', 'work', 'yes', 'power', 'numbers', 'dropped', 'yes', 'could', 'bounce', 'back', 'anytime', 'url']",NOT,,
77086,"['dude', 'old', 'lmao', 'ps', 'go', 'pack', 'go']",NOT,,
10972,"['trump', 'supporters', 'even', 'wear', 'hat', 'without', 'abused', 'meet', 'animals', 'left', 'attack', 'antifa', 'branch', 'communist', 'socialist', 'nazis', 'democrat', 'party']",NOT,,
69160,"['laughs', 'gotten', 'enough', 'relieved_face']",NOT,,
28380,['well'],NOT,,
40252,"['first', 'even', 'pizza', 'panera']",NOT,,
39907,"['please', 'kill', 'antifa', 'hand']",OFF,TIN,IND
16164,"['see', 'shanahan', 'say', 'spoon', 'healthy', 'game', 'obviously', 'excuses', 'maybe', 'doom', 'sort', 'thing', 'seemed', 'game', 'maybe', 'still', 'pretty', 'good']",NOT,,
52824,"['good', 'girl']",NOT,,
77294,"['ugly', 'black', 'hearted', 'troll', 'url']",OFF,TIN,IND
13420,"['clearly', 'pokemon', 'master', 'almost', 'rare', 'candy', 'alone', 'legacy', 'moveset', 'pokemon', 'depends', 'like', 'keep', 'collection', 'pieces', 'value', 'game']",NOT,,
16940,"['dont', 'believe', 'hype']",OFF,UNT,
83816,"['followed', 'new', 'maga', 'please', 'follow', 'back']",NOT,,
99156,"['protests', 'reported', 'sunderland', 'except', 'football', 'fan', 'one', 'flag', 'says', 'westbrom', 'getting', 'worse', 'even', 'type', 'maga', 'mega', 'mbga', 'mcga', 'conservatives', 'patriots', 'muslims', 'farleft', 'leftists', 'doomed', 'lose', 'realises', 'civilwar', 'soon', 'url']",NOT,,
11255,"['liberals', 'would', 'still', 'vote', 'claim', 'comments', 'taken', 'context', 'still', 'man', 'integrity']",NOT,,
28841,"['saved', 'maga']",OFF,TIN,IND
79060,"['bringing', 'honor', 'decency', 'yoyo', 'picture', 'rich']",NOT,,
71682,"['good', 'riddance']",NOT,,
17577,['goddess'],NOT,,
27503,"['omg', 'xd', 'worst', 'best', 'case', 'best', 'cuase', 'made', 'laught', 'part', 'asking', 'dead', 'hurts', 'poor', 'thing', 'rest', 'standin', 'like', 'nope', 'suffering', 'dead', 'yeah', 'pretty', 'dead']",NOT,,
59998,"['probably', 'imagine', 'sjw', 'snowflakes', 'feel', 'safe', 'working', 'might', 'conservatives', 'lurking', 'shadows', 'conservatives', 'ruskies', 'st', 'century']",OFF,TIN,IND
81119,"['see', 'may', 'light', 'even', 'last', 'election', 'conservatives', 'split', 'coming', 'tory', 'partyvery', 'soon']",NOT,,
28812,"['get', 'crying_face', 'damn', 'haters', 'deleting', 'ig', 'reason', 'url']",OFF,TIN,GRP
84131,"['think', 'canadian', 'liberals', 'actually', 'blame', 'trudeau', 'costs', 'per', 'standard', 'push', 'us']",NOT,,
23179,"['warned', 'everyone', 'josh', 'gordon', 'last', 'months', 'daily', 'basis', 'sure', 'shocked', 'transpired', 'today']",NOT,,
28601,"['liberals', 'read', 'read', 'url']",NOT,,
64776,"['sjshsj', 'thats', 'job', 'bitch']",OFF,TIN,IND
95712,"['discuss', 'haiti']",NOT,,
69972,"['part', 'collusion', 'get', 'dumocrat']",OFF,TIN,IND
37115,"['skilled', 'face_with_tears_of_joy', 'face_with_tears_of_joy']",NOT,,
80696,"['amazing', 'yellow_heart', 'yellow_heart', 'yellow_heart']",NOT,,
68163,"['fist', 'pump', 'troops']",NOT,,
96789,"['reason', 'farakans', 'illegal', 'values', 'black', 'muslim', 'would', 'reason', 'detest', 'believe', 'illegal', 'values', 'simply', 'result', 'bad', 'character', 'like', 'supporters']",OFF,TIN,GRP
68629,"['let', 'leftist', 'democrats', 'riot', 'streets', 'antifa', 'counterparts']",OFF,TIN,IND
66109,"['thought', 'canada', 'strict', 'gun', 'control', 'help', 'understand', 'happening']",NOT,,
19419,"['want', 'following', 'people', 'like', 'conservatives', 'sickening', 'biased', 'twitter', 'management', 'twitterleftbias']",NOT,,
32942,"['life', 'tho', 'expressionless_face']",NOT,,
74285,"['important', 'midterms', 'get', 'word', 'democrats', 'want', 'people', 'color', 'believe', 'support', 'know', 'false', 'word', 'spread', 'even', 'need', 'know', 'maga', 'naacp']",NOT,,
77319,"['antifa', 'giving', 'death', 'threats', 'professor', 'ford', 'threatening', 'violence', 'candidate', 'loses', 'spanky', 'impeached']",OFF,TIN,IND
30517,"['seen', 'listened', 'antifa', 'pals']",NOT,,
69077,"['case', 'antifa', 'take', 'little', 'bat', 'something', 'good', 'kind', 'thing']",NOT,,
67758,"['titles', 'scare', 'little', 'bit']",NOT,,
35944,"['gt', 'eradicating', 'hiv', 'malaria', 'middle', 'africa', 'good', 'bloody', 'luck']",NOT,,
48223,"['interaction', 'tory', 'volunteers', 'fcp', 'volunteers', 'witnessed', 'today', 'one', 'demanding', 'float', 'moved', 'back', 'parade', 'ableg', 'cdnpoli']",NOT,,
47168,"['seems', 'getting', 'things', 'done']",NOT,,
53947,"['added', 'video', 'playlist', 'url', 'combat', 'mon', 'frere', 'vs', 'ismael', 'et', 'maga', 'assassin', 'vs', 'david', 'le', 'boxer', 'yfc']",NOT,,
49504,"['law', 'changed', 'make', 'allegation', 'days', 'guilty', 'proven', 'innocent', 'liberals', 'mentally', 'ill']",OFF,TIN,GRP
66291,"['straight', 'different', 'thank', 'joe', 'biden', 'one', 'also', 'wonder', 'outcome', 'name', 'antifa', 'hill']",NOT,,
31229,"['game', 'sucks', 'donkey', 'balls']",OFF,TIN,GRP
75850,"['yo', 'real', 'gorgeous']",NOT,,
88546,"['absolutely', 'nail', 'coffin', 'hilliary']",OFF,TIN,IND
29241,"['hope', 'gets', 'twitter', 'tell', 'amazing', 'red_heart', 'grinning_face_with_smiling_eyes']",NOT,,
19842,"['gun', 'control', 'tried', 'proven', 'failure', 'people', 'vote', 'democrat', 'refuse', 'admit', 'reality', 'gun', 'control', 'work']",NOT,,
69232,"['overwhelming', 'liberals', 'populated', 'states', 'make', 'policy', 'rest', 'america', 'clue', 'california', 'biggest', 'population', 'mean', 'u', 'shares', 'values', 'get', 'clue', 'hillary']",NOT,,
36471,"['partly', 'fund', 'antifa']",NOT,,
32897,['dumbass'],OFF,TIN,IND
62072,"['levistrauss', 'wanting', 'gun', 'control', 'many', 'us', 'wonder', 'heck', 'want', 'freedoms', 'taken', 'away', 'selective', 'freedoms', 'url']",OFF,TIN,GRP
95444,"['point', 'time', 'think', 'pres', 'trump', 'gives', 'sh', 'neither', 'lol', 'url']",OFF,TIN,IND
51172,"['k', 'conservatives', 'get', 'polls', 'vote', 'red']",NOT,,
62481,"['donnie', 'jr', 'family', 'owe', 'country', 'apology', 'taking', 'criminal', 'activities', 'white', 'house', 'lining', 'pockets', 'father', 'unfit', 'making', 'mockery', 'republic', 'shame', 'family', 'justice', 'prevail']",OFF,TIN,IND
71895,"['harvard', 'harris', 'poll', 'conducted', 'year', 'found', 'percent', 'black', 'americans', 'said', 'would', 'like', 'see', 'one', 'legal', 'immigrants', 'brought', 'u', 'year', 'url', 'maga', 'tcot']",NOT,,
78366,"['doubt', 'officially', 'become', 'national', 'socialist', 'american', 'workers', 'party', 'gone', 'ppl', 'like', 'acting', 'der', 'sturmer', 'antifa', 'einsatzgruppen', 'waffen', 'ss', 'detachment']",NOT,,
39021,"['oh', 'carmen', 'fricking', 'cute']",OFF,TIN,IND
68840,"['chelsea', 'crazy', 'mother']",OFF,TIN,IND
96837,"['time', 'conservatives', 'binnedboris', 'sent', 'lyin', 'lynton', 'back', 'australia']",NOT,,
51815,"['manifesto', 'promised', 'vote', 'back', 'think', 'brexit', 'would', 'gone', 'brits', 'eu', 'allowed', 'vote', 'referendum', 'gerrymandered']",NOT,,
62023,"['metoo', 'movement', 'must', 'extension', 'antifa', 'complete', 'joke', 'movement', 'selective', 'joe', 'biden', 'would', 'court', 'fonding', 'girls', 'camera', 'url']",NOT,,
10253,"['awesome', 'thank', 'give', 'humanity', 'hope']",NOT,,
21367,['goober'],NOT,,
33797,"['another', 'uninformed']",NOT,,
11160,"['forgot', 'foster', 'child']",NOT,,
32916,"['brainless', 'dems', 'wants', 'us', 'believe', 'majority', 'liberals', 'like', 'leaders', 'corrupts', 'obama', 'crookedhillary', 'real', 'bad', 'losers', 'maga', 'trump']",OFF,TIN,GRP
47427,"['fucking', 'way', 'said']",NOT,,
87052,"['supposedly', 'smart', 'people', 'think', 'one', 'moment', 'audience', 'people', 'voted', 'trump', 'scared', 'shitless', 'hearing', 'top', 'brass', 'speak', 'way']",NOT,,
29556,"['surprised', 'takes', 'sick', 'woman', 'make', 'type', 'accusations', 'kind', 'find', 'far', 'left', 'liberals', 'praying', 'really', 'weak', 'members', 'gop', 'like', 'collins', 'flake', 'pull', 'back', 'support']",NOT,,
18547,"['california', 'gun', 'control', 'direct', 'result', 'white', 'people', 'scared', 'black', 'panthers', 'using', 'right', 'bear', 'arms', 'nra', 'problem', 'gun', 'control']",OFF,TIN,GRP
32688,"['oct', 'brazil', 'citizens', 'overwhelming', 'voted', 'government', 'implementing', 'strict', 'gun', 'control', 'factor', 'brazilian', 'government', 'still', 'violates', 'referendum', 'everyday', 'brazilians', 'murdered', 'w', 'zero', 'effective', 'method', 'self', 'defense']",NOT,,
57850,"['claim', 'without', 'sin', 'deceive', 'truth', 'us', 'confess', 'sins', 'faithful', 'forgive', 'us', 'sins', 'purify', 'us', 'unrighteousness', 'john']",NOT,,
82607,"['yet', 'millions', 'permit', 'holding', 'people', 'carried', 'legally', 'concealed', 'firearms', 'day', 'hurt', 'anyone', 'else', 'yet', 'want', 'stronger', 'gun', 'control', 'idiots', 'face_with_raised_eyebrow', 'wonderful', 'media', 'hype', 'incidents', 'fits', 'agenda']",OFF,TIN,GRP
82339,"['yes', 'hurt', 'selves', 'gun', 'control', 'freaks']",OFF,TIN,GRP
98077,"['get', 'like', 'guy', 'every', 'hysterical', 'tweet', 'url']",NOT,,
62815,"['always', 'shows', 'dedication', 'wonder', 'best', 'url']",NOT,,
34510,"['bullshit', 'regulations', 'good', 'keeps', 'conservatives', 'striping', 'land', 'abyss']",OFF,TIN,GRP
53501,"['owner', 'culo']",OFF,TIN,IND
69928,"['scarred', 'life', 'lol', 'maga', 'url']",OFF,TIN,IND
31853,['fucking'],OFF,TIN,IND
13872,"['confirm', 'man', 'left', 'wing', 'activist', 'liar', 'story', 'changes', 'hard', 'evidence', 'christineblaseyford', 'innocent', 'proven', 'guilty', 'confirmkavanaugh', 'maga', 'weakrinos', 'republicans']",OFF,TIN,GRP
30791,"['reagan', 'also', 'signed', 'first', 'gun', 'control', 'bill', 'governor', 'ca']",NOT,,
80385,"['awe', 'hogwash', 'really', 'need', 'overstate', 'obvious']",NOT,,
54292,"['years', 'judge', 'extensive', 'backgrounds', 'peep', 'link', 'trump', 'boom', 'conservatives', 'rape', 'liberals', 'url']",NOT,,
28985,"['assuming', 'going', 'get', 'answer', 'brainless', 'liberal', 'stooge', 'ocasio', 'cortez', 'policy', 'plan', 'url', 'wakeupamerica', 'america', 'future', 'vote', 'republican', 'surrender', 'america', 'dem', 'morons', 'maga']",OFF,TIN,OTH
52375,"['man', 'seriously', 'needs', 'mental', 'health', 'treatment', 'firearms', 'confiscated', 'longer', 'danger', 'others', 'waiting', 'gun', 'control', 'advocates', 'add', 'list', 'school', 'shootings', 'buys', 'caliber', 'handguns', 'url']",NOT,,
74004,"['leftists', 'showing', 'yet', 'vile']",OFF,TIN,GRP
70838,"['drunk', 'crazy', 'man']",OFF,TIN,IND
64577,"['honored', 'included', 'fine', 'patriots', 'thank', 'rena', 'maga', 'United_States', 'grinning_face', 'two_hearts', 'United_States', 'dean', 'url']",NOT,,
44448,"['please', 'shut', 'ontario', 'seeing', 'conservatives', 'stand', 'helping', 'loose', 'province', 'never', 'going', 'anywhere', 'way', 'completely', 'tune', 'canadian', 'mr', 'harper', 'oops', 'mean', 'mr', 'scheer', 'common', 'mistake', 'much', 'alike']",NOT,,
53928,"['alone', 'sexually', 'assaulted', 'fellow', 'law', 'student', 'never', 'reported', 'think', 'would', 'believed', 'however', 'something', 'happened', 'made', 'realize', 'victim', 'felt', 'made', 'colossal', 'mistake']",NOT,,
45337,['liberals'],NOT,,
85707,"['another', 'terrorist', 'attack', 'reported', 'msm']",NOT,,
63292,"['dont', 'know', 'imma', 'url']",NOT,,
15991,"['money', 'made', 'u', 'smarter']",OFF,TIN,IND
25009,"['yes', 'gilmer', 'makes', 'laugh', 'much']",NOT,,
90990,"['u', 'r', 'lifeline', 'red_heart', 'folded_hands', 'face_with_tears_of_joy']",NOT,,
65785,"['always', 'thought', 'h', 'ford', 'level', 'headed', 'guy', 'guess', 'note', 'ford', 'climate', 'change', 'summer', 'fall', 'winter', 'spring', 'happens', 'every', 'year', 'get']",NOT,,
38837,"['yeah', 'need', 'made', 'bullshit', 'protestors', 'antifa', 'lol', 'time', 'epic', 'beatdown', 'winking_face']",OFF,UNT,
94182,"['unfortunately', 'right', 'keep', 'real', 'assault', 'weapon']",NOT,,
77653,"['real', 'rocky', 'fire', 'fire', 'fire', 'oh', 'god']",NOT,,
27238,"['thank', 'everyone', 'making', 'possible', 'amazing', 'beautiful', 'bears', 'member', 'olivers', 'army', 'appreciate', 'everything', 'make', 'lives', 'better']",NOT,,
12892,"['yeah', 'got', 'everything', 'sorted', 'needed', 'sorted', 'still', 'taking', 'small', 'sips', 'wine', 'unusual', 'emily', 'guessed', 'jj', 'profile']",NOT,,
16885,"['way', 'move', 'haiti', 'liberals', 'seem', 'make', 'shit', 'holes', 'large', 'cities', 'go', 'somewhere', 'already', 'shit', 'hole', 'work']",OFF,TIN,GRP
46581,['yes'],NOT,,
41517,"['tried', 'went', 'nowhere', 'pro', 'gun', 'control', 'done']",NOT,,
